Ticker,Amount,Date,Price,Exit
.CSGSINTR,100,2018-11-09,278,
.CSGSINTR,-100,2018-12-20,274,x
.GDAXIUSD,50,2019-02-06,10349.24,
.HSCEDV,100,2018-09-20,20948.33,
.HSCEDV,50,2018-12-04,21065.23,
.HSCEDV,-50,2019-01-02,19091.95,x
.IXIC,-100,2018-10-05,7890.284,
.IXIC,-50,2018-10-06,7764.94,
.IXIC,-50,2018-10-09,7733.396,
.IXIC,100,2018-10-12,7489.691,x
.IXIC,50,2018-11-01,7276.622,x
.IXIC,50,2018-11-29,7267.373,x
.IXIC,-50,2018-12-04,7407.946,
.IXIC,50,2018-12-06,7017.054,x
.MIJP0IN00PJP,20,2019-01-09,190.34,
.N225NTR,50,2018-11-09,33024.79,
.N225NTR,-50,2018-12-20,29952.2,x
.N225NTR,50,2019-01-09,30047.99,
.N225NTR,-50,2019-01-30,30240.44,x
.N225NTR,50,2019-02-15,30746.57,
.NIFTRI,-100,2018-09-19,15534.28,
.NIFTRI,-50,2018-10-05,14646.09,
.NIFTRI,50,2018-11-01,14377.38,x
.NIFTRI,-50,2018-12-04,15049.32,
.NIFTRI,50,2019-01-02,14951.96,x
.NIFTRI,50,2019-01-08,15109.54,x
.SPXTR,100,2018-09-28,5758.58,
.SPXTR,-50,2018-10-25,5263.7363,x
.SPXTR,100,2018-12-17,5058.5767,
.SPXTR,-150,2018-12-20,4903.4629,x
.SPXTR,50,2019-01-08,5120.0386,
.SPXTR,50,2019-02-13,5488.12,
.TFTA50CNHNU,50,2019-01-24,1741.14,
.TRIXIN9,100,2018-12-17,15640.72,
.TRIXIN9,-100,2018-12-20,15053.13,x
AUD=,100,2018-09-28,0.7211,
AUD=,-100,2018-10-04,0.7085,x
AUD=,100,2018-10-19,0.7117,
AUD=,50,2018-11-09,0.7244,
AUD=,-50,2018-11-12,0.72,x
AUD=,-100,2018-12-20,0.7109,x
CADUSD=R,50,2018-10-05,1.2933,
CADUSD=R,-50,2018-12-20,1.357,x
CNHUSD=R,50,2018-10-04,0.145034736,
CNHUSD=R,50,2019-01-09,0.14633147,
CNHUSD=R,50,2019-01-09,0.147990292,
EMFX,50,2018-12-17,61.956,
EMFX,50,2019-01-07,63.137,
EMFX,50,2019-02-12,63.668,
EMFX,50,2019-02-26,63.789,
KRWUSD=R,50,2018-10-04,0.885033995,
KRWUSD=R,50,2018-10-11,0.875618405,
KRWUSD=R,50,2019-02-28,0.890701962,
KWEB.N,10,2019-01-09,40.75,
KWEB.N,10,2019-01-23,40.74,
TYc1,150,2018-09-20,118.5,
TYc1,100,2018-11-08,117.88,
TYc1,-100,2018-12-12,120.4,x
TYc1,-150,2019-02-13,121.75,x
XAU=,100,2018-09-28,1185.16,
XAU=,-100,2019-01-18,1281.11,x
YINN.N,10,2019-01-09,19.09,
YINN.N,10,2019-01-23,19.77,
