Date,.CSGSINTR,.GDAXIUSD,.HSCEDV,.IXIC,.MIJP0IN00PJP,.N225NTR,.NIFTRI,.SPXTR,.TFTA50CNHNU,.TRIXIN9,AUD=,CADUSD=R,CNHUSD=R,EMFX,KRWUSD=R,KWEB.N,TYc1,XAU=,YINN.N
2018-09-04,278.649,11332.03,21085.34,8091.246,207.68,33138.21,15922.09,5721.856,1793.98,16221.17,0.7177,1.318913216,0.14596,60.296,0.89336,49.71,120.0625,1191,23.02
2018-09-05,279.675,11242.18,20611.13,7995.173,206.84,32968.74,15862.15,5705.8584,1746.39,15817.24,0.7189,1.318044023,0.14614,60.394,0.8919,47.79,120.09375,1196.3,21.75
2018-09-06,279.493,11168.38,20513.65,7922.726,205.72,32833.12,15947.67,5686.7007,1726.54,15634.27,0.7201,1.314233145,0.14607,60.414,0.89108,47.68,120.296875,1199.77,21.81
2018-09-07,281.002,11126.37,20477.84,7902.541,204.79,32569.03,16019.84,5674.5806,1739.27,15749.56,0.7106,1.315789474,0.14556,60.403,0.88529,47.56,119.796875,1195.36,21.08
2018-09-10,280.944,11170.95,20233.66,7924.16,204.99,32665.44,15813.26,5685.3394,1718.39,15612.58,0.7114,1.316655695,0.14552,60.333,0.88401,46.01,119.8125,1195.4301,20.49
2018-09-11,275.788,11138.19,20040.51,7972.474,206.43,33091.19,15605.11,5706.9883,1709.63,15538.91,0.7122,1.306847883,0.14544,60.348,0.88889,46.23,119.5,1197.55,20.28
2018-09-12,281.244,11234.08,19859.66,7954.229,205.9,33003.47,15719.62,5709.0796,1692.52,15405.21,0.7168,1.299883011,0.14625,60.829,0.89186,46.9,119.609375,1205.45,20.81
2018-09-13,281.957,11303.71,20384.13,8013.71,209.14,33319.87,15719.62,5740.752,1720.75,15612.66,0.7192,1.300052002,0.14608,61.196,0.89271,48.76,119.59375,1200.7,22.18
2018-09-14,279.535,11360.41,20524.2,8010.044,211.73,33718.97,15920.48,5743.1875,1731.17,15708.14,0.715,1.303441084,0.1454,60.995,0.89074,48.01,119.359375,1193.31,21.53
2018-09-17,277.949,11356.6,20306.83,7895.792,211.73,33718.97,15731.26,5711.2949,1711.1,15568.62,0.718,1.304631442,0.14552,60.998,0.88705,46.81,119.3125,1200.53,21.24
2018-09-18,281.446,11423.87,20491.02,7956.107,215,34194.75,15594.57,5742.1821,1749.43,15889.34,0.7218,1.297521733,0.14573,61.041,0.88982,47.15,118.984375,1197.61,22.34
2018-09-19,282.349,11452.08,20849.54,7950.038,219.84,34562.65,15534.28,5749.3867,1773.56,16109.97,0.7263,1.291822762,0.14593,61.41,0.89289,48.77,118.859375,1203.58,23.52
2018-09-20,282.951,11633.98,20948.33,8028.232,220.43,34566.17,15534.28,5794.7222,1774.74,16105.39,0.7289,1.290489095,0.14628,61.847,0.89435,49.49,118.59375,1206.76,23.97
